Aarhus University,LSM3267,Behavioural Biology,4,215111U001,Behavioural Biology,10
Aarhus University,LSM3991,Exchange Enrichment Module,4,215111U018,GIS Modelling,5
Aarhus University,LSM3214,Human Physio-Hormones & Hlth,4,215111U034,Ecophysiology,10
Arizona State University,CS2102,Database Systems,4,ACO320,Database Systems,3
Arizona State University,CS3230,Design & Analysis of Algorithm,4,CSE450,Design and Analysis of Algorithms,3
Arizona State University,CS2108,Introduction to Media Computing,4,CSE408,Multimedia Information Systems,3
Arizona State University,CS3223,Database Systems Implementation,4,CSE 510,Database Management System Implementation,3
Arizona State University,CS2106,Intro to Operating Systems,4,CSE 330,Operating Systems,3
Arizona State University,CS2040,Data Structures and Algorithms,4,CSE310,Data Structures and Algorithms,3
Arizona State University,CS2102,Database Systems,4,CSE412,Database Management,3
Arizona State University,IS4231,Information Security Mgmt,4,CIS401,Cyber Risk Management,3
Arizona State University,CS1231,Discrete Structures,4,MAT243,Discrete Structures,3
Arizona State University,IS3261,Mobile Apps Development for En,4,CSE535,Mobile Computing,3
Arizona State University,IS3261,Mobile Apps Development for En,4,SER421,Web-Based Applications and Mobile Systems,3
Arizona State University,CS3244,Machine Learning,4,CSE494,Introduction to Machine Learning,3
Arizona State University,CS2102,Database Systems,4,IFT433,Intermediate DB Mgmt Systems,3
Arizona State University,CS3103,Computer Networks Practice,4,IFT489,Network administration with TCP/IP,3
Arizona State University,CS4222,Wireless Networking,4,ACO430,Wireless Networks,3
Arizona State University,CS2104,Programming Language Concepts,4,CSE240,Introduction to Programming Languages,3
Arizona State University,CS3243,Introduction to Artificial Intelligence,4,CSE471,Introduction to Artificial Intelligence,3
Arizona State University,CS3235,Computer Security,4,CSE466,Frontier approaches of control science,3
Arizona State University,IE4211,Modelling & Analytics,4,IEE520,Statistical Learning for Data Mining,3
Arizona State University,IE4243,Decision Modeling & Risk Analy,4,IEE454,Risk Management,3
Arizona State University,IE4220,Supply Chain Modelling,4,IEE534,Supply Chain Modeling and Analysis,3
Arizona State University,IE3250,Human Factors Engineering,4,IEE437,Human Factors Engineering,3
Arizona State University,IE3105,Fundamentals of Systems Engine,4,IEE456,Introduction to Systems Engineering,3
Arizona State University,IE2130,Quality Engineering I,4,IEE474,Quality Control,3
Arizona State University,IE4240,Project Management,4,IEE458,Project Management,3
Arizona State University,LSM3262,Comparative Animal Physiology,4,BIO 461,Comparative Animal Physiology,3
Arizona State University,LSM3991,Exchange Enrichment Module,4,PLB 302,Plants and Civilization,3
Arizona State University,LSM3991,Exchange Enrichment Module,4,BIO 418,Soil Ecology,3
Arizona State University,LSM3265,Entomology,4,BIO 386,General Entomology,4
Arizona State University,LSM3212,Human Physio:Cardiopulmon Syst,4,BIO 360,Animal Physiology,3
Arizona State University,LSM3233,Developmental Biology,4,BIO 351,Developmental Biology,3
Arizona State University,LSM3252,Evolutn & Comparative Genomics,4,BIO 345,Organic Evolution,3
Arizona State University,LSM3267,Behavioural Biology,4,BIO 331,Animal Behavior,3
Arizona State University,LSM3991,Exchange Enrichment Module,4,BIO 302,Cancer - Mother of All Diseases,3
Arizona State University,CM1417,Fundamentals of Chemistry,4,CHM101,Introductory Chemistry,4
Arizona State University,CM1121,Organic Chemistry 1,4,CHM231,ELEMENTARY ORGANIC CHEMISTRY,3
Arizona State University,LSM3256,Tropical Horticulture,4,LNP 494,Urban Horticulture,3
Arizona State University,LSM3272,Global Change Biology,4,GPH 314,Global Change,3
Arizona State University,LSM3266,Avian Biology and Evolution,4,BIO 471,Ornithology,3
Arizona State University,LSM3214,Human Physio-Hormones & Hlth,4,BIO 462,Endocrine Physiology,3
Arizona State University,LSM4241,Functional Genomics,4,BIO 440,Functional Genomics,3
Boston University,BT4211,Data-Driven Marketing,4,MET AD654,MARKETING ANALYTICS,4
Boston University,CS5223,Distributed Systems,4,CAS CS451,Distributed Systems,4
Boston University,IS4231,Information Security Mgmt,4,MET CS 684,IT Security Policies and Procedures,3
