DOS3761Z,Topics in Operations & SCM
DOS3811,Technology and Business Innova
DOS4712,Co-ordination and Flexibility
DOS4811,Data Visualisation
DSA2102,Essential Data Analytics Tools
DSA3102,Essential Data Analytics Tool
EG2401,
EG2401A,Engineering Professionalism
EN2273,
EN2274,
EN3741,Department Exchange Module
EN3742,Department Exchange Module
ENV2991,Exchange Enrichment Level 2000
ENV2992,Exchange Enrichment Level 2000
ENV2994,Exchange Enrichment Level 2000
ENV3991,Exchange Enrichment Level 3000
EU2741,Department Exchange Module
EX1000,Exchange UEM
EX1001,Exchange UEM
EX1002,Exchange UEM
EX1003,Exchange UEM
EX1004,Exchange UEM
EX1020,Exchange UEM
EX1021,Exchange UEM
EX1022,Exchange UEM
EX1023,Exchange UEM
EX1030,Exchange UEM
EX1031,Exchange UEM
EX1040,Exchange UEM
EX1041,Exchange UEM
EX1042,Exchange UEM
EX1043,Exchange UEM
EX1102,Exchange UEM
EX1103,Exchange UEM
EX1104,Exchange UEM
EX1105,Exchange UEM
EX2000,Exchange UEM
EX2001,Exchange UEM
EX2002,Exchange UEM
EX2003,Exchange UEM
EX2004,Exchange UEM
EX2005,Exchange UEM
EX2006,Exchange UEM
EX2010,Exchange UEM
EX2011,Exchange UEM
EX2012,Exchange UEM
EX2013,Exchange UEM
EX2014,Exchange UEM
EX2020,Exchange UEM
EX2021,Exchange UEM
EX2023,Exchange UEM
EX2030,Exchange UEM
EX2040,Exchange UEM
EX2041,Exchange UEM
EX2043,Exchange UEM
EX2050,Exchange UEM
EX2051,Exchange UEM
EX2052,Exchange UEM
EX2053,Exchange UEM
EX2100,Exchange UEM
EX2101,Exchange UEM
EX3000,Exchange UEM
EX3101,Exchange UEM
EX3610,Unrestricted Elective Outside
EX3612,Exchange UEM
EX3613,Exchange UEM Module
EX3614,Exchange UEM Module
EX3618,Exchange UEM
EX3619,Exchange UEM
EX3881,Exchange ULR Breadth
EX3882,Exchange ULR Breadth
EX3883,Exchange ULR Breadth
EX3884,Exchange ULR Breadth
EX3885,Exchange UEM
EX3886,Exchange UEM
EX3888,Exchange UEM
EX4042,Exchange UEM
EX4043,Exchange UEM
EX4044,Exchange UEM
EX4045,Exchange UEM
EX4047,Exchange UEM
EX4048,Exchange UEM
EX4049,Exchange UEM
